,Document,ordinanceCode,formCode,DocumentClass
0,有価証券通知書,10,010000,有価証券通知書
1,変更有価証券通知書,10,010001,変更通知書（有価証券通知書）
2,有価証券届出書（通常方式）,10,020000,有価証券届出書
3,訂正有価証券届出書（通常方式）,10,020001,訂正有価証券届出書
4,有価証券届出書（組込方式）,10,022000,有価証券届出書
5,訂正有価証券届出書（組込方式）,10,022001,訂正有価証券届出書
6,有価証券届出書（参照方式）,10,023000,有価証券届出書
7,訂正有価証券届出書（参照方式）,10,023001,訂正有価証券届出書
8,有価証券届出書（新規公開時）,10,024000,有価証券届出書
9,訂正有価証券届出書（新規公開時）,10,024001,訂正有価証券届出書
10,有価証券届出書（少額募集等）,10,025000,有価証券届出書
11,訂正有価証券届出書（少額募集等）,10,025001,訂正有価証券届出書
12,有価証券届出書（組織再編成）,10,026000,有価証券届出書
13,訂正有価証券届出書（組織再編成）,10,026001,訂正有価証券届出書
14,有価証券届出書（組織再編成・上場）,10,027000,有価証券届出書
15,訂正有価証券届出書（組織再編成・上場）,10,027001,訂正有価証券届出書
16,有価証券報告書,10,030000,有価証券報告書
17,訂正有価証券報告書,10,030001,訂正有価証券報告書
18,有価証券報告書（少額募集等）,10,032000,有価証券報告書
19,訂正有価証券報告書（少額募集等）,10,032001,訂正有価証券報告書
20,有価証券報告書（法24条3項に基づくもの）,10,040000,有価証券報告書
21,訂正有価証券報告書（法24条3項に基づくもの）,10,040001,訂正有価証券報告書
22,確認書,10,042000,確認書
23,訂正確認書,10,042001,訂正確認書
24,確認書,10,042100,確認書
25,確認書,10,042200,確認書
26,確認書,10,042300,確認書
27,四半期報告書,10,043000,四半期報告書
28,訂正四半期報告書,10,043001,訂正四半期報告書
29,半期報告書,10,050000,半期報告書
30,訂正半期報告書,10,050001,訂正半期報告書
31,半期報告書（少額募集等）,10,052000,半期報告書
32,訂正半期報告書（少額募集等）,10,052001,訂正半期報告書
33,臨時報告書,10,053000,臨時報告書
34,訂正臨時報告書,10,053001,訂正臨時報告書
35,親会社等状況報告書（内国会社）,10,054000,親会社等状況報告書
36,訂正親会社等状況報告書（内国会社）,10,054001,訂正親会社等状況報告書
37,有価証券通知書,10,060000,有価証券通知書
38,変更有価証券通知書,10,060001,変更通知書（有価証券通知書）
39,有価証券届出書（通常方式）,10,070000,有価証券届出書
40,訂正有価証券届出書（通常方式）,10,070001,訂正有価証券届出書
41,有価証券届出書（組込方式）,10,072000,有価証券届出書
42,訂正有価証券届出書（組込方式）,10,072001,訂正有価証券届出書
43,有価証券届出書（参照方式）,10,073000,有価証券届出書
44,訂正有価証券届出書（参照方式）,10,073001,訂正有価証券届出書
45,有価証券届出書（組織再編成）,10,074000,有価証券届出書
46,訂正有価証券届出書（組織再編成）,10,074001,訂正有価証券届出書
47,外国会社届出書,10,075000,有価証券届出書
48,外国会社訂正届出書,10,075001,訂正有価証券届出書
49,有価証券報告書,10,080000,有価証券報告書
50,訂正有価証券報告書,10,080001,訂正有価証券報告書
51,外国会社報告書,10,082000,有価証券報告書
52,外国会社訂正報告書,10,082001,訂正有価証券報告書
53,外国会社確認書,10,082100,確認書
54,外国会社訂正確認書,10,082101,訂正確認書
55,外国会社四半期報告書,10,082200,四半期報告書
56,外国会社四半期訂正報告書,10,082201,訂正四半期報告書
57,外国会社半期報告書,10,082300,半期報告書
58,外国会社半期訂正報告書,10,082301,訂正半期報告書
59,外国会社確認書,10,082400,確認書
