タクソノミ,冗長ラベル（日本語）,標準ラベル（英語）,冗長ラベル（英語）
jppfs_cor:BalanceSheetAbstract,貸借対照表 [タイトル項目],Balance sheet,Balance sheet [abstract]
jppfs_cor:BalanceSheetTable,貸借対照表 [表],Balance sheet,Balance sheet [table]
jppfs_cor:BalanceSheetLineItems,貸借対照表 [表示項目],Balance sheet,Balance sheet [line items]
jppfs_cor:AssetsAbstract,資産の部 [タイトル項目],Assets,Assets [abstract]
jppfs_cor:NoncurrentAssetsAbstract,固定資産 [タイトル項目],Non-current assets,Non-current assets [abstract]
jppfs_cor:PropertyPlantAndEquipmentAbstract,有形固定資産 [タイトル項目],"Property, plant and equipment","Property, plant and equipment [abstract]"
jppfs_cor:ProductionFacilitiesPPEGAS,製造設備、有形固定資産、ガス事業,Production facilities,Production facilities-PPE-GAS
jppfs_cor:NaturalGasGatheringFacilitiesPPEGAS,天然ガス採取設備、有形固定資産、ガス事業,Natural gas gathering facilities,Natural gas gathering facilities-PPE-GAS
jppfs_cor:DistributionFacilitiesPPEGAS,供給設備、有形固定資産、ガス事業,Distribution facilities,Distribution facilities-PPE-GAS
jppfs_cor:ServiceAndMaintenanceFacilitiesPPEGAS,業務設備、有形固定資産、ガス事業,Service and maintenance facilities,Service and maintenance facilities-PPE-GAS
jppfs_cor:FacilitiesForIncidentalBusinessesPPEGAS,附帯事業設備、有形固定資産、ガス事業,Facilities for incidental businesses,Facilities for incidental businesses-PPE-GAS
jppfs_cor:InactiveFacilitiesPPEGAS,休止設備、有形固定資産、ガス事業,Inactive facilities,Inactive facilities-PPE-GAS
jppfs_cor:OtherFacilitiesPPEGAS,その他の設備、有形固定資産、ガス事業,Other facilities,Other facilities-PPE-GAS
jppfs_cor:ConstructionInProgress,建設仮勘定,Construction in progress,Construction in progress
jppfs_cor:PropertyPlantAndEquipment,有形固定資産,"Property, plant and equipment","Property, plant and equipment"
jppfs_cor:IntangibleAssetsAbstract,無形固定資産 [タイトル項目],Intangible assets,Intangible assets [abstract]
