タクソノミ,冗長ラベル（日本語）,標準ラベル（英語）,冗長ラベル（英語）
jppfs_cor:BalanceSheetAbstract,貸借対照表 [タイトル項目],Balance sheet,Balance sheet [abstract]
jppfs_cor:BalanceSheetTable,貸借対照表 [表],Balance sheet,Balance sheet [table]
jppfs_cor:BalanceSheetLineItems,貸借対照表 [表示項目],Balance sheet,Balance sheet [line items]
jppfs_cor:AssetsAbstract,資産の部 [タイトル項目],Assets,Assets [abstract]
jppfs_cor:NoncurrentAssetsAbstract,固定資産 [タイトル項目],Non-current assets,Non-current assets [abstract]
jppfs_cor:PropertyPlantAndEquipmentAbstract,有形固定資産 [タイトル項目],"Property, plant and equipment","Property, plant and equipment [abstract]"
jppfs_cor:Land,土地,Land,Land
jppfs_cor:Buildings,建物,Buildings,Buildings
jppfs_cor:AccumulatedDepreciationBuildings,減価償却累計額、建物,Accumulated depreciation,Accumulated depreciation-buildings
jppfs_cor:AccumulatedImpairmentLossBuildings,減損損失累計額、建物,Accumulated impairment loss,Accumulated impairment loss-buildings
jppfs_cor:AccumulatedDepreciationAndImpairmentLossBuildings,減価償却累計額及び減損損失累計額、建物,Accumulated depreciation and impairment loss,Accumulated depreciation and impairment loss-buildings
jppfs_cor:BuildingsNet,建物（純額）,"Buildings, net","Buildings, net"
jppfs_cor:Structures,構築物,Structures,Structures
jppfs_cor:AccumulatedDepreciationStructures,減価償却累計額、構築物,Accumulated depreciation,Accumulated depreciation-structures
jppfs_cor:AccumulatedImpairmentLossStructures,減損損失累計額、構築物,Accumulated impairment loss,Accumulated impairment loss-structures
jppfs_cor:AccumulatedDepreciationAndImpairmentLossStructures,減価償却累計額及び減損損失累計額、構築物,Accumulated depreciation and impairment loss,Accumulated depreciation and impairment loss-structures
jppfs_cor:StructuresNet,構築物（純額）,"Structures, net","Structures, net"
jppfs_cor:EducationalResearchInstrumentAndEquipmentEDU,教育研究用機器備品、学校法人,Educational research instrument and equipment,Educational research instrument and equipment-EDU
