タクソノミ,冗長ラベル（日本語）,標準ラベル（英語）,冗長ラベル（英語）
jppfs_cor:BalanceSheetAbstract,貸借対照表 [タイトル項目],Balance sheet,Balance sheet [abstract]
jppfs_cor:BalanceSheetTable,貸借対照表 [表],Balance sheet,Balance sheet [table]
jppfs_cor:BalanceSheetLineItems,貸借対照表 [表示項目],Balance sheet,Balance sheet [line items]
jppfs_cor:AssetsAbstract,資産の部 [タイトル項目],Assets,Assets [abstract]
jppfs_cor:CurrentAssetsAbstract,流動資産 [タイトル項目],Current assets,Current assets [abstract]
jppfs_cor:CashAndDeposits,現金及び預金,Cash and deposits,Cash and deposits
jppfs_cor:ShortTermInvestmentSecurities,有価証券,Securities,Securities
jppfs_cor:ShortTermLoansReceivable,短期貸付金,Short-term loans receivable,Short-term loans receivable
jppfs_cor:CashDepositInTrustCAIVT,支払委託金、流動資産、投資運用業,Cash deposit in trust,Cash deposit in trust-CA-IVT
jppfs_cor:DividendsCAIVT,収益分配金、流動資産、投資運用業,Dividends,Dividends-CA-IVT
jppfs_cor:RedemptionCAIVT,償還金、流動資産、投資運用業,Redemption,Redemption-CA-IVT
jppfs_cor:AdvancePaymentsCAIVT,前払金、流動資産、投資運用業,Advance payments,Advance payments-CA-IVT
jppfs_cor:PrepaidExpenses,前払費用,Prepaid expenses,Prepaid expenses
jppfs_cor:AccountsReceivableOther,未収入金,Accounts receivable - other,Accounts receivable-other
jppfs_cor:AccruedInvestmentTrustManagementFeeCAIVT,未収委託者報酬、流動資産、投資運用業,Accrued investment trust management fee,Accrued investment trust management fee-CA-IVT
jppfs_cor:AccruedManagementFeeCAIVT,未収運用受託報酬、流動資産、投資運用業,Accrued management fee,Accrued management fee-CA-IVT
jppfs_cor:AccruedIncome,未収収益,Accrued income,Accrued income
jppfs_cor:DeferredTaxAssetsCA,繰延税金資産、流動資産,Deferred tax assets,Deferred tax assets-CA
