タクソノミ,冗長ラベル（日本語）,標準ラベル（英語）,冗長ラベル（英語）
jppfs_cor:BalanceSheetAbstract,貸借対照表 [タイトル項目],Balance sheet,Balance sheet [abstract]
jppfs_cor:BalanceSheetTable,貸借対照表 [表],Balance sheet,Balance sheet [table]
jppfs_cor:BalanceSheetLineItems,貸借対照表 [表示項目],Balance sheet,Balance sheet [line items]
jppfs_cor:AssetsAbstract,資産の部 [タイトル項目],Assets,Assets [abstract]
jppfs_cor:CurrentAssets,流動資産,Current assets,Current assets
jppfs_cor:CashAndDeposits,現金及び預金,Cash and deposits,Cash and deposits
jppfs_cor:OperatingAccountsReceivableMED,事業未収金、社会医療法人,Operating accounts receivable,Operating accounts receivable-MED
jppfs_cor:AllowanceForDoubtfulAccountsOperatingAccountsReceivableMED,貸倒引当金、事業未収金、社会医療法人,Allowance for doubtful accounts,Allowance for doubtful accounts-operating accounts receivable-MED
jppfs_cor:OperatingAccountsReceivableNetMED,事業未収金（純額）、社会医療法人,"Operating accounts receivable, net","Operating accounts receivable, net-MED"
jppfs_cor:ShortTermInvestmentSecurities,有価証券,Securities,Securities
jppfs_cor:Inventories,たな卸資産,Inventories,Inventories
jppfs_cor:AdvancePaymentsTrade,前渡金,Advance payments - trade,Advance payments-trade
jppfs_cor:PrepaidExpenses,前払費用,Prepaid expenses,Prepaid expenses
jppfs_cor:DeferredTaxAssetsCA,繰延税金資産、流動資産,Deferred tax assets,Deferred tax assets-CA
jppfs_cor:OtherCA,その他、流動資産,Other,Other-CA
jppfs_cor:AllowanceForDoubtfulAccountsCA,貸倒引当金、流動資産、一括控除,Allowance for doubtful accounts,Allowance for doubtful accounts-CA-by group
jppfs_cor:NoncurrentAssets,固定資産,Non-current assets,Non-current assets
jppfs_cor:PropertyPlantAndEquipment,有形固定資産,"Property, plant and equipment","Property, plant and equipment"
jppfs_cor:Buildings,建物,Buildings,Buildings
jppfs_cor:AccumulatedDepreciationBuildings,減価償却累計額、建物,Accumulated depreciation,Accumulated depreciation-buildings
