タクソノミ,冗長ラベル（日本語）,標準ラベル（英語）,冗長ラベル（英語）
jppfs_cor:BalanceSheetAbstract,貸借対照表 [タイトル項目],Balance sheet,Balance sheet [abstract]
jppfs_cor:BalanceSheetTable,貸借対照表 [表],Balance sheet,Balance sheet [table]
jppfs_cor:BalanceSheetLineItems,貸借対照表 [表示項目],Balance sheet,Balance sheet [line items]
jppfs_cor:AssetsAbstract,資産の部 [タイトル項目],Assets,Assets [abstract]
jppfs_cor:CurrentAssetsAbstract,流動資産 [タイトル項目],Current assets,Current assets [abstract]
jppfs_cor:CashAndDeposits,現金及び預金,Cash and deposits,Cash and deposits
jppfs_cor:CashSegregatedAsDepositsCASEC,預託金、流動資産、第一種金融商品取引業,Cash segregated as deposits,Cash segregated as deposits-CA-SEC
jppfs_cor:CashSegregatedAsDepositsForCustomersCASEC,顧客分別金信託、流動資産、第一種金融商品取引業,Cash segregated as deposits for customers,Cash segregated as deposits for customers-CA-SEC
jppfs_cor:CashSegregatedAsDepositsForFinancialProductsTransactionLiabilitiesCASEC,金融商品取引責任準備預託金、流動資産、第一種金融商品取引業,Cash segregated as deposits for financial products transaction liabilities,Cash segregated as deposits for financial products transaction liabilities-CA-SEC
jppfs_cor:CashSegregatedAsDepositsForOthersCASEC,その他の預託金、流動資産、第一種金融商品取引業,Cash segregated as deposits for others,Cash segregated as deposits for others-CA-SEC
jppfs_cor:TradingProductsCASEC,トレーディング商品、流動資産、第一種金融商品取引業,Trading products,Trading products-CA-SEC
jppfs_cor:TradingSecuritiesAndOtherCASEC,商品有価証券等、流動資産、第一種金融商品取引業,Trading securities and other,Trading securities and other-CA-SEC
jppfs_cor:DerivativesCASEC,デリバティブ取引、流動資産、第一種金融商品取引業,Derivatives,Derivatives-CA-SEC
jppfs_cor:TradeDateAccrualCASEC,約定見返勘定、流動資産、第一種金融商品取引業,Trade date accrual,Trade date accrual-CA-SEC
