タクソノミ,冗長ラベル（日本語）,標準ラベル（英語）,冗長ラベル（英語）
jppfs_cor:BalanceSheetAbstract,貸借対照表 [タイトル項目],Balance sheet,Balance sheet [abstract]
jppfs_cor:BalanceSheetTable,貸借対照表 [表],Balance sheet,Balance sheet [table]
jppfs_cor:BalanceSheetLineItems,貸借対照表 [表示項目],Balance sheet,Balance sheet [line items]
jppfs_cor:AssetsAbstract,資産の部 [タイトル項目],Assets,Assets [abstract]
jppfs_cor:SpecificAssetsAbstractLIQ,特定資産の部、資産流動化業 [タイトル項目],Specific assets,Specific assets-LIQ [abstract]
jppfs_cor:CurrentAssetsSpecificAssetsAbstractLIQ,流動資産、特定資産、資産流動化業 [タイトル項目],Current assets,Current assets-specific assets-LIQ [abstract]
jppfs_cor:TrustBeneficiaryRightCASpecificAssetsLIQ,信託受益権、流動資産、特定資産、資産流動化業,Trust beneficiary right,Trust beneficiary right-CA-specific assets-LIQ
jppfs_cor:CurrentAssetsSpecificAssetsLIQ,流動資産、特定資産、資産流動化業,Current assets,Current assets-specific assets-LIQ
jppfs_cor:NoncurrentAssetsSpecificAssetsAbstractLIQ,固定資産、特定資産、資産流動化業 [タイトル項目],Non-current assets,Non-current assets-specific assets-LIQ [abstract]
jppfs_cor:PropertyPlantAndEquipmentSpecificAssetsAbstractLIQ,有形固定資産、特定資産、資産流動化業 [タイトル項目],"Property, plant and equipment","Property, plant and equipment-specific assets-LIQ [abstract]"
jppfs_cor:BuildingsSpecificAssetsLIQ,建物、特定資産、資産流動化業,Buildings,Buildings-specific assets-LIQ
jppfs_cor:AccumulatedDepreciationBuildingsSpecificAssetsLIQ,減価償却累計額、建物、特定資産、資産流動化業,Accumulated depreciation,Accumulated depreciation-buildings-specific assets-LIQ
jppfs_cor:BuildingsNetSpecificAssetsLIQ,建物（純額）、特定資産、資産流動化業,"Buildings, net","Buildings, net-specific assets-LIQ"
jppfs_cor:StructuresSpecificAssetsLIQ,構築物、特定資産、資産流動化業,Structures,Structures-specific assets-LIQ
