タクソノミ,冗長ラベル（日本語）,標準ラベル（英語）,冗長ラベル（英語）
jpigp_cor:HeadingsAndBlockTagsIFRSAbstract,目次項目及び包括タグ（IFRS） [タイトル項目],Headings and block tags (IFRS),Headings and block tags (IFRS) [abstract]
jpigp_cor:ConsolidatedFinancialStatementIFRSHeading,連結財務諸表（IFRS） [目次項目],Consolidated financial statement,Consolidated financial statement (IFRS) [heading]
jpigp_cor:ConsolidatedStatementOfFinancialPositionIFRSHeading,連結財政状態計算書（IFRS） [目次項目],Consolidated statement of financial position,Consolidated statement of financial position (IFRS) [heading]
jpigp_cor:ConsolidatedStatementOfFinancialPositionIFRSTextBlock,連結財政状態計算書（IFRS） [テキストブロック],Consolidated statement of financial position,Consolidated statement of financial position (IFRS) [text block]
jpigp_cor:ConsolidatedStatementOfProfitOrLossAndConsolidatedStatementOfComprehensiveIncomeIFRSHeading,連結損益計算書及び連結包括利益計算書（IFRS） [目次項目],Consolidated statement of profit or loss and consolidated statement of comprehensive income,Consolidated statement of profit or loss and consolidated statement of comprehensive income (IFRS) [heading]
jpigp_cor:ConsolidatedStatementOfProfitOrLossIFRSHeading,連結損益計算書（IFRS） [目次項目],Consolidated statement of profit or loss,Consolidated statement of profit or loss (IFRS) [heading]
jpigp_cor:ConsolidatedStatementOfProfitOrLossIFRSTextBlock,連結損益計算書（IFRS） [テキストブロック],Consolidated statement of profit or loss,Consolidated statement of profit or loss (IFRS) [text block]
jpigp_cor:ConsolidatedStatementOfComprehensiveIncomeIFRSHeading,連結包括利益計算書（IFRS） [目次項目],Consolidated statement of comprehensive income,Consolidated statement of comprehensive income (IFRS) [heading]
jpigp_cor:ConsolidatedStatementOfComprehensiveIncomeIFRSTextBlock,連結包括利益計算書（IFRS） [テキストブロック],Consolidated statement of comprehensive income,Consolidated statement of comprehensive income (IFRS) [text block]
jpigp_cor:ConsolidatedStatementOfComprehensiveIncomeSingleStatementIFRSHeading,連結包括利益計算書（1計算書）（IFRS） [目次項目],Consolidated statement of comprehensive income,Consolidated statement of comprehensive income (single statement) (IFRS) [heading]
jpigp_cor:ConsolidatedStatementOfComprehensiveIncomeSingleStatementIFRSTextBlock,連結包括利益計算書（1計算書）（IFRS） [テキストブロック],Consolidated statement of comprehensive income,Consolidated statement of comprehensive income (single statement) (IFRS) [text block]
jpigp_cor:ConsolidatedStatementOfChangesInEquityIFRSHeading,連結持分変動計算書（IFRS） [目次項目],Consolidated statement of changes in equity,Consolidated statement of changes in equity (IFRS) [heading]
jpigp_cor:ConsolidatedStatementOfChangesInEquityIFRSTextBlock,連結持分変動計算書（IFRS） [テキストブロック],Consolidated statement of changes in equity,Consolidated statement of changes in equity (IFRS) [text block]
jpigp_cor:ConsolidatedStatementOfCashFlowsIFRSHeading,連結キャッシュ・フロー計算書（IFRS） [目次項目],Consolidated statement of cash flows,Consolidated statement of cash flows (IFRS) [heading]
jpigp_cor:ConsolidatedStatementOfCashFlowsIFRSTextBlock,連結キャッシュ・フロー計算書（IFRS） [テキストブロック],Consolidated statement of cash flows,Consolidated statement of cash flows (IFRS) [text block]
jpigp_cor:NotesToConsolidatedFinancialStatementsIFRSHeading,連結財務諸表注記事項（IFRS） [目次項目],Notes to consolidated financial statements,Notes to consolidated financial statements (IFRS) [heading]
jpigp_cor:NotesReportingEntityConsolidatedFinancialStatementsIFRSHeading,注記事項－報告企業、連結財務諸表（IFRS） [目次項目],Notes - Reporting entity,"Notes - Reporting entity, Consolidated financial statements (IFRS) [heading]"
jpigp_cor:NotesReportingEntityConsolidatedFinancialStatementsIFRSTextBlock,注記事項－報告企業、連結財務諸表（IFRS） [テキストブロック],Notes - Reporting entity,"Notes - Reporting entity, Consolidated financial statements (IFRS) [text block]"
jpigp_cor:NotesBasisOfPreparationConsolidatedFinancialStatementsIFRSHeading,注記事項－作成の基礎、連結財務諸表（IFRS） [目次項目],Notes - Basis of preparation,"Notes - Basis of preparation, Consolidated financial statements (IFRS) [heading]"
jpigp_cor:NotesBasisOfPreparationConsolidatedFinancialStatementsIFRSTextBlock,注記事項－作成の基礎、連結財務諸表（IFRS） [テキストブロック],Notes - Basis of preparation,"Notes - Basis of preparation, Consolidated financial statements (IFRS) [text block]"
jpigp_cor:NotesSignificantAccountingPoliciesConsolidatedFinancialStatementsIFRSHeading,注記事項－重要な会計方針、連結財務諸表（IFRS） [目次項目],Notes - Significant accounting policies,"Notes - Significant accounting policies, Consolidated financial statements (IFRS) [heading]"
jpigp_cor:NotesSignificantAccountingPoliciesConsolidatedFinancialStatementsIFRSTextBlock,注記事項－重要な会計方針、連結財務諸表（IFRS） [テキストブロック],Notes - Significant accounting policies,"Notes - Significant accounting policies, Consolidated financial statements (IFRS) [text block]"
jpigp_cor:NotesChangesInAccountingPoliciesConsolidatedFinancialStatementsIFRSHeading,注記事項－会計方針の変更、連結財務諸表（IFRS） [目次項目],Notes - Changes in accounting policies,"Notes - Changes in accounting policies, Consolidated financial statements (IFRS) [heading]"
jpigp_cor:NotesChangesInAccountingPoliciesConsolidatedFinancialStatementsIFRSTextBlock,注記事項－会計方針の変更、連結財務諸表（IFRS） [テキストブロック],Notes - Changes in accounting policies,"Notes - Changes in accounting policies, Consolidated financial statements (IFRS) [text block]"
jpigp_cor:NotesSignificantAccountingEstimatesAndJudgementsConsolidatedFinancialStatementsIFRSHeading,注記事項－重要な会計上の見積り及び判断、連結財務諸表（IFRS） [目次項目],Notes - Significant accounting estimates and judgements,"Notes - Significant accounting estimates and judgements, Consolidated financial statements (IFRS) [heading]"
jpigp_cor:NotesSignificantAccountingEstimatesAndJudgementsConsolidatedFinancialStatementsIFRSTextBlock,注記事項－重要な会計上の見積り及び判断、連結財務諸表（IFRS） [テキストブロック],Notes - Significant accounting estimates and judgements,"Notes - Significant accounting estimates and judgements, Consolidated financial statements (IFRS) [text block]"
jpigp_cor:NotesNewStandardsNotYetAppliedConsolidatedFinancialStatementsIFRSHeading,注記事項－未適用の新基準、連結財務諸表（IFRS） [目次項目],Notes - New standards not yet applied,"Notes - New standards not yet applied, Consolidated financial statements (IFRS) [heading]"
jpigp_cor:NotesNewStandardsNotYetAppliedConsolidatedFinancialStatementsIFRSTextBlock,注記事項－未適用の新基準、連結財務諸表（IFRS） [テキストブロック],Notes - New standards not yet applied,"Notes - New standards not yet applied, Consolidated financial statements (IFRS) [text block]"
jpigp_cor:NotesSegmentInformationConsolidatedFinancialStatementsIFRSHeading,注記事項－セグメント情報、連結財務諸表（IFRS） [目次項目],Notes - Segment information,"Notes - Segment information, Consolidated financial statements (IFRS) [heading]"
jpigp_cor:NotesSegmentInformationConsolidatedFinancialStatementsIFRSTextBlock,注記事項－セグメント情報、連結財務諸表（IFRS） [テキストブロック],Notes - Segment information,"Notes - Segment information, Consolidated financial statements (IFRS) [text block]"
jpigp_cor:NotesGroupEntitiesConsolidatedFinancialStatementsIFRSHeading,注記事項－グループ企業、連結財務諸表（IFRS） [目次項目],Notes - Group entities,"Notes - Group entities, Consolidated financial statements (IFRS) [heading]"
jpigp_cor:NotesGroupEntitiesConsolidatedFinancialStatementsIFRSTextBlock,注記事項－グループ企業、連結財務諸表（IFRS） [テキストブロック],Notes - Group entities,"Notes - Group entities, Consolidated financial statements (IFRS) [text block]"
jpigp_cor:NotesSubsidiariesAndAssociatesConsolidatedFinancialStatementsIFRSHeading,注記事項－子会社及び関連会社、連結財務諸表（IFRS） [目次項目],Notes - Subsidiaries and associates,"Notes - Subsidiaries and associates, Consolidated financial statements (IFRS) [heading]"
jpigp_cor:NotesSubsidiariesAndAssociatesConsolidatedFinancialStatementsIFRSTextBlock,注記事項－子会社及び関連会社、連結財務諸表（IFRS） [テキストブロック],Notes - Subsidiaries and associates,"Notes - Subsidiaries and associates, Consolidated financial statements (IFRS) [text block]"
jpigp_cor:NotesSubsidiariesConsolidatedFinancialStatementsIFRSHeading,注記事項－子会社、連結財務諸表（IFRS） [目次項目],Notes - Subsidiaries,"Notes - Subsidiaries, Consolidated financial statements (IFRS) [heading]"
jpigp_cor:NotesSubsidiariesConsolidatedFinancialStatementsIFRSTextBlock,注記事項－子会社、連結財務諸表（IFRS） [テキストブロック],Notes - Subsidiaries,"Notes - Subsidiaries, Consolidated financial statements (IFRS) [text block]"
jpigp_cor:NotesAssociatesAndJointVenturesConsolidatedFinancialStatementsIFRSHeading,注記事項－関連会社及びジョイント・ベンチャー、連結財務諸表（IFRS） [目次項目],Notes - Associates and joint ventures,"Notes - Associates and joint ventures, Consolidated financial statements (IFRS) [heading]"
jpigp_cor:NotesAssociatesAndJointVenturesConsolidatedFinancialStatementsIFRSTextBlock,注記事項－関連会社及びジョイント・ベンチャー、連結財務諸表（IFRS） [テキストブロック],Notes - Associates and joint ventures,"Notes - Associates and joint ventures, Consolidated financial statements (IFRS) [text block]"
jpigp_cor:NotesAssociatesConsolidatedFinancialStatementsIFRSHeading,注記事項－関連会社、連結財務諸表（IFRS） [目次項目],Notes - Associates,"Notes - Associates, Consolidated financial statements (IFRS) [heading]"
jpigp_cor:NotesAssociatesConsolidatedFinancialStatementsIFRSTextBlock,注記事項－関連会社、連結財務諸表（IFRS） [テキストブロック],Notes - Associates,"Notes - Associates, Consolidated financial statements (IFRS) [text block]"
jpigp_cor:NotesInterestsInOtherEntitiesConsolidatedFinancialStatementsIFRSHeading,注記事項－他の企業への関与、連結財務諸表（IFRS） [目次項目],Notes - Interests in other entities,"Notes - Interests in other entities, Consolidated financial statements (IFRS) [heading]"
