タクソノミ,冗長ラベル（日本語）,標準ラベル（英語）,冗長ラベル（英語）
jppfs_cor:BalanceSheetAbstract,貸借対照表 [タイトル項目],Balance sheet,Balance sheet [abstract]
jppfs_cor:BalanceSheetTable,貸借対照表 [表],Balance sheet,Balance sheet [table]
jppfs_cor:BalanceSheetLineItems,貸借対照表 [表示項目],Balance sheet,Balance sheet [line items]
jppfs_cor:AssetsAbstract,資産の部 [タイトル項目],Assets,Assets [abstract]
jppfs_cor:CurrentAssetsAbstract,流動資産 [タイトル項目],Current assets,Current assets [abstract]
jppfs_cor:CashAndDeposits,現金及び預金,Cash and deposits,Cash and deposits
jppfs_cor:NotesReceivableTrade,受取手形,Notes receivable - trade,Notes receivable-trade
jppfs_cor:AccountsReceivableTrade,売掛金,Accounts receivable - trade,Accounts receivable-trade
jppfs_cor:AccountsReceivableInstallmentSalesCALEA,割賦債権、流動資産、リース事業,Accounts receivable - installment sales,Accounts receivable-installment sales-CA-LEA
jppfs_cor:LeaseReceivablesCA,リース債権、流動資産,Lease receivables,Lease receivables-CA
jppfs_cor:LeaseInvestmentAssetsCA,リース投資資産、流動資産,Lease investment assets,Lease investment assets-CA
jppfs_cor:LeaseReceivablesAndInvestmentAssetsCA,リース債権及びリース投資資産、流動資産,Lease receivables and investment assets,Lease receivables and investment assets-CA
jppfs_cor:AccountsReceivableOperatingLoansCALEA,営業貸付金、流動資産、リース事業,Accounts receivable - operating loans,Accounts receivable-operating loans-CA-LEA
jppfs_cor:AccountsReceivableOtherLoansToCustomersCALEA,その他の営業貸付債権、流動資産、リース事業,Accounts receivable - other loans to customers,Accounts receivable-other loans to customers-CA-LEA
jppfs_cor:OperationalInvestmentSecuritiesCA,営業投資有価証券、流動資産,Operational investment securities,Operational investment securities-CA
jppfs_cor:AccountsReceivableLeaseCALEA,賃貸料等未収入金、流動資産、リース事業,Accounts receivable - lease,Accounts receivable-lease-CA-LEA
jppfs_cor:ShortTermInvestmentSecurities,有価証券,Securities,Securities
