,タクソノミ,冗長ラベル（日本語）,標準ラベル（英語）,冗長ラベル（英語）
0,jppfs_cor:BalanceSheetAbstract,貸借対照表 [タイトル項目],Balance sheet,Balance sheet [abstract]
1,jppfs_cor:BalanceSheetTable,貸借対照表 [表],Balance sheet,Balance sheet [table]
2,jppfs_cor:BalanceSheetLineItems,貸借対照表 [表示項目],Balance sheet,Balance sheet [line items]
3,jppfs_cor:AssetsAbstract,資産の部 [タイトル項目],Assets,Assets [abstract]
4,jppfs_cor:CurrentAssetsAbstract,流動資産 [タイトル項目],Current assets,Current assets [abstract]
5,jppfs_cor:DepositsCAFND,預金、流動資産、投資信託,Deposits,Deposits-CA-FND
6,jppfs_cor:MoneyHeldInTrustCAFND,金銭信託、流動資産、投資信託,Money held in trust,Money held in trust-CA-FND
7,jppfs_cor:CallLoansCAFND,コール・ローン、流動資産、投資信託,Call loans,Call loans-CA-FND
8,jppfs_cor:MortgageSecuritiesCAFND,抵当証券、流動資産、投資信託,Mortgage securities,Mortgage securities-CA-FND
9,jppfs_cor:MonetaryClaimCAFND,金銭債権、流動資産、投資信託,Monetary claim,Monetary claim-CA-FND
10,jppfs_cor:PromissoryNoteCAFND,約束手形、流動資産、投資信託,Promissory note,Promissory note-CA-FND
11,jppfs_cor:TrustBeneficiaryRightCAFND,信託受益権、流動資産、投資信託,Trust beneficiary right,Trust beneficiary right-CA-FND
12,jppfs_cor:MoneyTrustBeneficiaryRightCAFND,受益証券発行信託の受益証券、流動資産、投資信託,Money trust beneficiary right,Money trust beneficiary right-CA-FND
13,jppfs_cor:StocksCAFND,株式、流動資産、投資信託,Stocks,Stocks-CA-FND
14,jppfs_cor:WarrantCAFND,新株予約権証券、流動資産、投資信託,Investments in share acquisition rights,Investments in share acquisition rights - CA - FND
15,jppfs_cor:GovernmentBondsCAFND,国債証券、流動資産、投資信託,Government bonds,Government bonds-CA-FND
16,jppfs_cor:MunicipalBondsCAFND,地方債証券、流動資産、投資信託,Municipal bonds,Municipal bonds-CA-FND
17,jppfs_cor:SpecialBondsCAFND,特殊債券、流動資産、投資信託,Special bonds,Special bonds-CA-FND
