タクソノミ,冗長ラベル（日本語）,標準ラベル（英語）,冗長ラベル（英語）
jppfs_cor:BalanceSheetAbstract,貸借対照表 [タイトル項目],Balance sheet,Balance sheet [abstract]
jppfs_cor:BalanceSheetTable,貸借対照表 [表],Balance sheet,Balance sheet [table]
jppfs_cor:BalanceSheetLineItems,貸借対照表 [表示項目],Balance sheet,Balance sheet [line items]
jppfs_cor:AssetsAbstract,資産の部 [タイトル項目],Assets,Assets [abstract]
jppfs_cor:CurrentAssetsAbstract,流動資産 [タイトル項目],Current assets,Current assets [abstract]
jppfs_cor:CashAndDeposits,現金及び預金,Cash and deposits,Cash and deposits
jppfs_cor:NotesReceivableTrade,受取手形,Notes receivable - trade,Notes receivable-trade
jppfs_cor:AllowanceForDoubtfulAccountsNotesReceivableTrade,貸倒引当金、受取手形,Allowance for doubtful accounts,Allowance for doubtful accounts-notes receivable-trade
jppfs_cor:NotesReceivableTradeNet,受取手形（純額）,"Notes receivable - trade, net","Notes receivable-trade, net"
jppfs_cor:AccountsReceivableTradeCAINV,営業未収入金、流動資産、投資業,Operating accounts receivable,Operating accounts receivable-CA-INV
jppfs_cor:AllowanceForDoubtfulAccountsOperatingAccountsReceivableINV,貸倒引当金、営業未収入金、投資業,Allowance for doubtful accounts,Allowance for doubtful accounts-operating accounts receivable-CA-INV
jppfs_cor:RentalReceivablesNetCAINV,営業未収入金（純額）、流動資産、投資業,"Operating accounts receivable, net","Operating accounts receivable, net-CA-INV"
jppfs_cor:ShortTermInvestmentSecurities,有価証券,Securities,Securities
jppfs_cor:InvestmentUnitParentCAINV,親法人投資口、流動資産、投資業,Investment units - parent,Investment units - parent - CA - INV
jppfs_cor:InvestmentUnitSubsidiaryCAINV,子法人投資口、流動資産、投資業,Investment units - subsidiary,Investment units - subsidiary - CA - INV
jppfs_cor:AdvancePaymentsTrade,前渡金,Advance payments - trade,Advance payments-trade
jppfs_cor:PrepaidExpenses,前払費用,Prepaid expenses,Prepaid expenses
