,タクソノミ,冗長ラベル（日本語）,標準ラベル（英語）,冗長ラベル（英語）
0,jppfs_cor:BalanceSheetAbstract,貸借対照表 [タイトル項目],Balance sheet,Balance sheet [abstract]
1,jppfs_cor:BalanceSheetTable,貸借対照表 [表],Balance sheet,Balance sheet [table]
2,jppfs_cor:BalanceSheetLineItems,貸借対照表 [表示項目],Balance sheet,Balance sheet [line items]
3,jppfs_cor:AssetsAbstract,資産の部 [タイトル項目],Assets,Assets [abstract]
4,jppfs_cor:CurrentAssets,流動資産,Current assets,Current assets
5,jppfs_cor:CashAndDeposits,現金及び預金,Cash and deposits,Cash and deposits
6,jppfs_cor:OperatingAccountsReceivableMED,事業未収金、社会医療法人,Operating accounts receivable,Operating accounts receivable-MED
7,jppfs_cor:AllowanceForDoubtfulAccountsOperatingAccountsReceivableMED,貸倒引当金、事業未収金、社会医療法人,Allowance for doubtful accounts,Allowance for doubtful accounts-operating accounts receivable-MED
8,jppfs_cor:OperatingAccountsReceivableNetMED,事業未収金（純額）、社会医療法人,"Operating accounts receivable, net","Operating accounts receivable, net-MED"
9,jppfs_cor:ShortTermInvestmentSecurities,有価証券,Securities,Securities
10,jppfs_cor:Inventories,たな卸資産,Inventories,Inventories
11,jppfs_cor:AdvancePaymentsTrade,前渡金,Advance payments - trade,Advance payments-trade
12,jppfs_cor:PrepaidExpenses,前払費用,Prepaid expenses,Prepaid expenses
13,jppfs_cor:DeferredTaxAssetsCA,繰延税金資産、流動資産,Deferred tax assets,Deferred tax assets-CA
14,jppfs_cor:OtherCA,その他、流動資産,Other,Other-CA
15,jppfs_cor:AllowanceForDoubtfulAccountsCA,貸倒引当金、流動資産、一括控除,Allowance for doubtful accounts,Allowance for doubtful accounts-CA-by group
16,jppfs_cor:NoncurrentAssets,固定資産,Non-current assets,Non-current assets
17,jppfs_cor:PropertyPlantAndEquipment,有形固定資産,"Property, plant and equipment","Property, plant and equipment"
18,jppfs_cor:Buildings,建物,Buildings,Buildings
19,jppfs_cor:AccumulatedDepreciationBuildings,減価償却累計額、建物,Accumulated depreciation,Accumulated depreciation-buildings
