,タクソノミ,冗長ラベル（日本語）,標準ラベル（英語）,冗長ラベル（英語）
0,jppfs_cor:BalanceSheetAbstract,貸借対照表 [タイトル項目],Balance sheet,Balance sheet [abstract]
1,jppfs_cor:BalanceSheetTable,貸借対照表 [表],Balance sheet,Balance sheet [table]
2,jppfs_cor:BalanceSheetLineItems,貸借対照表 [表示項目],Balance sheet,Balance sheet [line items]
3,jppfs_cor:AssetsAbstract,資産の部 [タイトル項目],Assets,Assets [abstract]
4,jppfs_cor:CurrentAssetsAbstract,流動資産 [タイトル項目],Current assets,Current assets [abstract]
5,jppfs_cor:CashAndDeposits,現金及び預金,Cash and deposits,Cash and deposits
6,jppfs_cor:CashSegregatedAsDepositsCASEC,預託金、流動資産、第一種金融商品取引業,Cash segregated as deposits,Cash segregated as deposits-CA-SEC
7,jppfs_cor:CashSegregatedAsDepositsForCustomersCASEC,顧客分別金信託、流動資産、第一種金融商品取引業,Cash segregated as deposits for customers,Cash segregated as deposits for customers-CA-SEC
8,jppfs_cor:CashSegregatedAsDepositsForFinancialProductsTransactionLiabilitiesCASEC,金融商品取引責任準備預託金、流動資産、第一種金融商品取引業,Cash segregated as deposits for financial products transaction liabilities,Cash segregated as deposits for financial products transaction liabilities-CA-SEC
9,jppfs_cor:CashSegregatedAsDepositsForOthersCASEC,その他の預託金、流動資産、第一種金融商品取引業,Cash segregated as deposits for others,Cash segregated as deposits for others-CA-SEC
10,jppfs_cor:TradingProductsCASEC,トレーディング商品、流動資産、第一種金融商品取引業,Trading products,Trading products-CA-SEC
11,jppfs_cor:TradingSecuritiesAndOtherCASEC,商品有価証券等、流動資産、第一種金融商品取引業,Trading securities and other,Trading securities and other-CA-SEC
12,jppfs_cor:DerivativesCASEC,デリバティブ取引、流動資産、第一種金融商品取引業,Derivatives,Derivatives-CA-SEC
13,jppfs_cor:TradeDateAccrualCASEC,約定見返勘定、流動資産、第一種金融商品取引業,Trade date accrual,Trade date accrual-CA-SEC
14,jppfs_cor:MarginTransactionAssetsCASEC,信用取引資産、流動資産、第一種金融商品取引業,Margin transaction assets,Margin transaction assets-CA-SEC
