,タクソノミ,冗長ラベル（日本語）,標準ラベル（英語）,冗長ラベル（英語）
0,jppfs_cor:BalanceSheetAbstract,貸借対照表 [タイトル項目],Balance sheet,Balance sheet [abstract]
1,jppfs_cor:BalanceSheetTable,貸借対照表 [表],Balance sheet,Balance sheet [table]
2,jppfs_cor:BalanceSheetLineItems,貸借対照表 [表示項目],Balance sheet,Balance sheet [line items]
3,jppfs_cor:AssetsAbstract,資産の部 [タイトル項目],Assets,Assets [abstract]
4,jppfs_cor:SpecificAssetsAbstractLIQ,特定資産の部、資産流動化業 [タイトル項目],Specific assets,Specific assets-LIQ [abstract]
5,jppfs_cor:CurrentAssetsSpecificAssetsAbstractLIQ,流動資産、特定資産、資産流動化業 [タイトル項目],Current assets,Current assets-specific assets-LIQ [abstract]
6,jppfs_cor:TrustBeneficiaryRightCASpecificAssetsLIQ,信託受益権、流動資産、特定資産、資産流動化業,Trust beneficiary right,Trust beneficiary right-CA-specific assets-LIQ
7,jppfs_cor:CurrentAssetsSpecificAssetsLIQ,流動資産、特定資産、資産流動化業,Current assets,Current assets-specific assets-LIQ
8,jppfs_cor:NoncurrentAssetsSpecificAssetsAbstractLIQ,固定資産、特定資産、資産流動化業 [タイトル項目],Non-current assets,Non-current assets-specific assets-LIQ [abstract]
9,jppfs_cor:PropertyPlantAndEquipmentSpecificAssetsAbstractLIQ,有形固定資産、特定資産、資産流動化業 [タイトル項目],"Property, plant and equipment","Property, plant and equipment-specific assets-LIQ [abstract]"
10,jppfs_cor:BuildingsSpecificAssetsLIQ,建物、特定資産、資産流動化業,Buildings,Buildings-specific assets-LIQ
11,jppfs_cor:AccumulatedDepreciationBuildingsSpecificAssetsLIQ,減価償却累計額、建物、特定資産、資産流動化業,Accumulated depreciation,Accumulated depreciation-buildings-specific assets-LIQ
12,jppfs_cor:BuildingsNetSpecificAssetsLIQ,建物（純額）、特定資産、資産流動化業,"Buildings, net","Buildings, net-specific assets-LIQ"
13,jppfs_cor:StructuresSpecificAssetsLIQ,構築物、特定資産、資産流動化業,Structures,Structures-specific assets-LIQ
