,タクソノミ,冗長ラベル（日本語）,標準ラベル（英語）,冗長ラベル（英語）
0,jppfs_cor:BalanceSheetAbstract,貸借対照表 [タイトル項目],Balance sheet,Balance sheet [abstract]
1,jppfs_cor:BalanceSheetTable,貸借対照表 [表],Balance sheet,Balance sheet [table]
2,jppfs_cor:BalanceSheetLineItems,貸借対照表 [表示項目],Balance sheet,Balance sheet [line items]
3,jppfs_cor:AssetsAbstract,資産の部 [タイトル項目],Assets,Assets [abstract]
4,jppfs_cor:CurrentAssetsAbstract,流動資産 [タイトル項目],Current assets,Current assets [abstract]
5,jppfs_cor:CashAndDeposits,現金及び預金,Cash and deposits,Cash and deposits
6,jppfs_cor:NotesReceivableTrade,受取手形,Notes receivable - trade,Notes receivable-trade
7,jppfs_cor:RailwayFaresReceivablesCARWY,未収運賃、流動資産、鉄道事業,Railway fares receivables,Railway fares receivables-CA-RWY
8,jppfs_cor:AccountsReceivableCARWY,未収金、流動資産、鉄道事業,Accounts receivable,Accounts receivable-CA-RWY
9,jppfs_cor:AccruedIncome,未収収益,Accrued income,Accrued income
10,jppfs_cor:ShortTermLoansReceivable,短期貸付金,Short-term loans receivable,Short-term loans receivable
11,jppfs_cor:ShortTermInvestmentSecurities,有価証券,Securities,Securities
12,jppfs_cor:Inventories,たな卸資産,Inventories,Inventories
13,jppfs_cor:MerchandiseAndFinishedGoods,商品及び製品,Merchandise and finished goods,Merchandise and finished goods
14,jppfs_cor:WorkInProcess,仕掛品,Work in process,Work in process
15,jppfs_cor:RawMaterialsAndSupplies,原材料及び貯蔵品,Raw materials and supplies,Raw materials and supplies
16,jppfs_cor:Supplies,貯蔵品,Supplies,Supplies
17,jppfs_cor:AdvancePaymentsCARWY,前払金、流動資産、鉄道事業,Advance payments,Advance payments-CA-RWY
18,jppfs_cor:PrepaidExpenses,前払費用,Prepaid expenses,Prepaid expenses
19,jppfs_cor:DeferredTaxAssetsCA,繰延税金資産、流動資産,Deferred tax assets,Deferred tax assets-CA
20,jppfs_cor:SpecialReserveForExpansionOfRailwayTransportCapacityCARWY,特定都市鉄道整備積立金、流動資産、鉄道事業,Special reserve for expansion of railway transport capacity,Special reserve for expansion of railway transport capacity-CA-RWY
