タクソノミ,冗長ラベル（日本語）,標準ラベル（英語）,冗長ラベル（英語）
jppfs_cor:BalanceSheetAbstract,貸借対照表 [タイトル項目],Balance sheet,Balance sheet [abstract]
jppfs_cor:BalanceSheetTable,貸借対照表 [表],Balance sheet,Balance sheet [table]
jppfs_cor:BalanceSheetLineItems,貸借対照表 [表示項目],Balance sheet,Balance sheet [line items]
jppfs_cor:AssetsAbstract,資産の部 [タイトル項目],Assets,Assets [abstract]
jppfs_cor:NoncurrentAssetsAbstract,固定資産 [タイトル項目],Non-current assets,Non-current assets [abstract]
jppfs_cor:NoncurrentAssetsTelecommunicationsBusinessAbstract,電気通信事業固定資産 [タイトル項目],Non-current assets - telecommunications business,Non-current assets - telecommunications business [abstract]
jppfs_cor:PropertyPlantAndEquipmentNCATelecommunicationsAbstract,有形固定資産、電気通信事業固定資産 [タイトル項目],"Property, plant and equipment","Property, plant and equipment-NCA-telecommunications [abstract]"
jppfs_cor:MachineryNCATelecommunications,機械設備、電気通信事業固定資産,Machinery,Machinery-NCA-telecommunications
jppfs_cor:AccumulatedDepreciationMachineryNCATelecommunications,減価償却累計額、機械設備、電気通信事業固定資産,Accumulated depreciation,Accumulated depreciation-machinery-NCA-telecommunications
jppfs_cor:MachineryNetNCATelecommunications,機械設備（純額）、電気通信事業固定資産,"Machinery, net","Machinery, net-NCA-telecommunications"
jppfs_cor:AntennaFacilitiesNCATelecommunications,空中線設備、電気通信事業固定資産,Antenna facilities,Antenna facilities-NCA-telecommunications
jppfs_cor:AccumulatedDepreciationAntennaNCATelecommunications,減価償却累計額、空中線設備、電気通信事業固定資産,Accumulated depreciation,Accumulated depreciation-antenna-NCA-telecommunications
jppfs_cor:AntennaFacilitiesNetNCATelecommunications,空中線設備（純額）、電気通信事業固定資産,"Antenna facilities, net","Antenna facilities, net-NCA-telecommunications"
jppfs_cor:CommunicationSatelliteFacilitiesNCATelecommunications,通信衛星設備、電気通信事業固定資産,Communication satellite facilities,Communication satellite facilities-NCA-telecommunications
